Banco,Sector,Tipo,Resumen,Descripción,Ref2024,Ref2025,Alerta
Santander,Oil&Gas,D,Santander cambió su meta en el sector de petróleo y gas de un límite de emisiones absolutas a una métrica de intensidad,El objetivo pasa de ser un único valor de emisiones absolutas (16.98 mtCO2e en Informe 2024) a un rango de intensidad 2.31-3.03tCO2e/TJ en Informe 2025).,pag 49,pag 61,
Santander,Oil&Gas,D,"Exclusión de las emisiones de Alcance 3 en la meta de alineamiento, reduciendo la exigencia climática al ignorar el impacto del uso final de los combustibles fósiles.","El objetivo de alineamiento en el Informe 2025 se centra ahora exclusivamente en alcances 1 y 2, mientras que el Informe 2024 incluía los alcances 1, 2 y 3 en su meta de reducción absoluta.
El banco argumenta que los clientes tienen mayor control operativo sobre los alcances 1 y 2, y que las emisiones de alcance 3 ahora se monitorizan a través del nuevo ""Índice de energía primaria"" debido a su fuerte dependencia de la demanda global.",pag 49,"pag 61,65",
Santander,Oil&Gas,M,Actualización metodológica del año base a 2023,"Se informa que el año base ha sido actualizado a 2023 en el Informe 2025, sustituyendo al año 2019 empleado en el Informe 2024.",pag 49,pag 61,
Santander,Power,M,"Cambio de métrica hacia un rango objetivo que refleja las distintas velocidades de transición regionales y normativas, sustituyendo la meta de un valor fijo único para 2030","El objetivo a 2030 ha pasado de un valor fijo de 0,11 tCO2e/MWh a un rango objetivo de 102-124 kgCO2e/MWh para reflejar las diferentes velocidades de transición regionales y normativas, modificando también la unidad a kg en vez de toneladas (t).",pag 49,pag 61,
Santander,Power,F,"Fuerte mejora del desempeño físico de la cartera con una caída significativa en la intensidad física de emisiones, impulsada principalmente por la reducción de exposición a clientes intensivos y la financiación de proyectos renovables","La intensidad física de emisiones cayó significativamente de 0,15 tCO2e/MWh en 2023  a 88 kgCO2e/MWh (0,088 tCO2e/MWh) en 2024, impulsada por la reducción de exposición a clientes intensivos en carbono y el aumento en financiación de proyectos renovables aún en fase de construcción.",pag 49,pag 61,
Santander,Power,D/M,Discrepancia contable en los datos de exposición de 2023 reportados,"Se observa una discrepancia en las cifras de exposición (saldo dispuesto en miles de millones de euros) para el ejercicio 2023 entre los informes publicados: el Informe 2024 reporta 10,75 mil millones EUR, mientras que el Informe 2025 12,79 mil millones EUR para el mismo periodo. Santander no presta justificación para el cambio.",pag 53,pag 65,
Santander,Steel,D,"Relajación de la meta a 2030, pasando de un objetivo fijo a un rango más permisivo, otorgando mayor margen para financiar operaciones siderúrgicas menos eficientes.","Se informa que el objetivo para el año 2030 ha sido actualizado en el Informe 2025 a un rango de 1,17-1,28, en sustitución del valor puntual de 1,07 consignado en el Informe 2024.",pag 49,pag 61,
Santander,Steel,M,Actualización metodológica que desplaza el año base de referencia para la medición de la cartera a 2023.,"Se ha actualizado el año base a 2023 para el Informe 2025, en sustitución del año 2019 empleado en el Informe 2024.",pag 49,pag 61,
Santander,Steel,M,"Incremento notable en la intensidad física de emisiones de un año para otro, justificado por el banco debido a un cambio en la composición de la cartera provocado por amortizaciones de clientes de bajas emisiones","Se registró una subida en la intensidad desde los 1,38 tCO2e/tS reportados para 2023 (Informe 2024, p. 48) hasta los 1,51 tCO2e/tS para 2024 (Informe 2025, p. 61) debido a un cambio en la composición de la cartera por amortizaciones de clientes con perfiles de bajas emisiones.",pag 49,pag 61,
Santander,Automotive,D,Adaptación a rangos para las carteras de fabricación y préstamos,"Los objetivos para 2030 se han flexibilizado pasando de metas fijas de 103 gCO2/vkm en fabricación y 75-89 gCO2e/vkm en préstamos europeos a rangos de 80-98 gCO2/vkm y 70-109 gCO2e/vkm respectivamente, reflejando así los diferentes escenarios de transición regionales y la volatilidad del mercado del coche eléctrico.",pag 49,pag 61,
Santander,Automotive,D,Suavización de la exigencia de transición al adoptar un escenario mixto (NZE2050 + APS),El banco ha sustituido el escenario IEA Net Zero 2050 para ambos subsectores por los escenarios combinados IEA NZE2050 y APS.,pag 49,pag 61,
Santander,Cement,N,"El sector carece de reporte activo de métricas, objetivos o exposición en ambos ejercicios analizados.",No reportado en ningún informe.,-,-,
Santander,Aviation,D,"Retirada del objetivo formal de reducción a 2030 por barreras tecnológicas y de mercado, degradando la exposición a una mera cartera en ""seguimiento"".","Cambio de clasificación del sector (Eliminado como objetivo) — El sector de la aviación ha pasado de tener un objetivo de alineamiento definido para 2030 de 61,71 gCO2e/RPK a ser clasificado únicamente como cartera en seguimiento sin objetivo fijado, decisión justificada por su menor materialidad de alineamiento y  su fuerte dependencia de factores externos como los combustibles sostenibles (SAF) y avances tecnológicos lentos.
",pag 43,"pag 59
pag 68",
Santander,Shipping,N,"El sector carece de reporte activo de métricas, objetivos o exposición en ambos ejercicios analizados.",No reportado en ningún informe.,-,-,
Santander,CRE,M,Ampliación del perímetro de consolidación de riesgo climático al integrar los datos de inmuebles comerciales e hipotecas de la filial en Portugal.,"El análisis de emisiones financiadas del sector inmobiliario comercial se ha expandido sumando la cartera de Portugal a las métricas de España y Reino Unido que se reportaban en el año previo (Informe 2024, p. 49; Informe 2025, p. 61).",pag 51,pag 70,
Santander,Coal,M/F,Caída brusca de la financiación ligada al carbón,"La exposición reportada a cierre de 2024 es de 4.2 mil millones en el Informe 2025, mientras que para el mismo cierre de 2024 el Informe 2024 reportó 4.8 mil millones.
Se incorpora el valor de exposición para 2025, que se sitúa en 2.3 mil millones de euros.",pag 50,pag 68,
Santander,Aluminium,N,"El sector carece de reporte activo de métricas, objetivos o exposición en ambos ejercicios analizados.",No reportado en ningún informe.,,,
Santander,Agriculture,M,"Refinamiento en la medición de la cartera en Brasil, acotando el análisis de riesgo a los subsectores más materiales: soja, maíz y ganadería bovina.","La medición de emisiones financiadas en la cartera agrícola de Brasil se ha refinado para incluir de forma específica únicamente soja, maíz y ganadería bovina de carne, lo que ha supuesto recalcular las emisiones base reportadas en 2023 de 9,83 MtCO2e a un valor de 8,41 MtCO2e para garantizar la comparabilidad.","pag 51
pag 43","pag 69
pag 61",
ING,Oil&Gas,F,"Cambio a límites de crédito (loan limits) para medir la exposición, reflejando una mejora real en intensidad y una caída sustancial de saldos en Mid y Downstream.","En el sector Upstream, conforme a la validación de SBTi, la entidad ha ajustado su metodología de medición de exposición, sustituyendo el criterio de saldos dispuestos (1.001 millones de euros en 2024) por el de límites de crédito, los cuales alcanzaron los 1.900 millones de euros en 2025. Asimismo, en los segmentos Mid y Downstream, la intensidad de emisiones se redujo de 19,1 a 19,0 kg CO2e/boe, acompañada de una disminución significativa en la exposición, que pasó de 7.400 a 5.600 millones de euros.",pag 111,"pag 113, pag 364(validacion SBTi)",
ING,Oil&Gas,F,"El banco retrasará hasta 2026 el cese de la financiación de nuevas terminales de exportación de GNL, alineándose con las advertencias de la AIE sobre activos bloqueados.","Según el informe de 2025, el banco no financiará nuevas terminales de exportación de GNL a partir de 2026, sector que hoy supone el 39 % de las emisiones de su cartera. Esto representa un retraso frente al informe de 2024, que prometía detener esta financiación en 2025. A pesar de la demora, la medida respalda la postura de la IEA (International Energy Agency), que advierte sobre la susceptibilidad de estas infraestructuras a quedar bloqueadas en una situación de lock-in.",pag 126,pag 115,
