Banco,Orden,Icon,Título,Cuerpo,es_intro
Santander,0,-,-,"Como conclusión final de este análisis comparativo, se observa una evolución hacia la flexibilidad y el pragmatismo operativo, en detrimento de la rigidez de los compromisos iniciales.
La evolución general de Banco Santander muestra un reenfoque pragmático en su estrategia de descarbonización, alejándose de metas fijas y absolutas hacia rangos de intensidad flexibles. Este ajuste, que el banco atribuye a la necesidad de reflejar el ritmo real de transición y la dependencia de las políticas públicas, afecta principalmente a la comparabilidad de sus compromisos en los sectores más contaminantes y denota una flexibilización de los escenarios climáticos previamente adoptados.
",TRUE
Santander,1,alert,Retroceso en la ambición de Oil & Gas,"Se elimina el objetivo de emisiones absolutas y se excluye el Alcance 3 de la meta de alineamiento, trasladándose a una métrica de solo seguimiento (Primary Energy Index).
Las emisiones de Alcance 3 (las generadas por el uso de los productos vendidos por las petroleras) suelen representar más del 80-90% del impacto total del sector. Al mover estas emisiones a un ""índice de seguimiento"" (Primary Energy Index) en lugar de un objetivo de reducción vinculado a la cartera, la presión directa sobre el desbalance de carbono de los clientes disminuye. El banco justifica que los clientes tienen ""mayor control operativo"" sobre sus alcances 1 y 2.",FALSE
Santander,2,warn,Cambio metodológico hacia rangos objetivo,"El banco ha sustituido de forma sistémica sus objetivos de emisiones fijados como un valor estricto (ya sea absoluto o de intensidad) por rangos de intensidad flexibles (en Power, Steel, Automotive) argumentando la necesidad de absorber las diferentes velocidades de transición internacionales.",FALSE
Santander,3,warn,Actualización masiva de años base,"Se han reseteado los años base de la mayoría de sectores de CIB de 2019 a 2023, dificultando la trazabilidad del progreso histórico a largo plazo.
Cambiar el año base dificulta la comparación del progreso histórico. Si un banco reduce emisiones entre 2019 y 2023 pero luego ""reinicia"" el contador en 2023, la trayectoria de largo plazo se fragmenta. El banco argumenta que este cambio busca utilizar datos más recientes y precisos para reflejar la composición actual de su cartera.",FALSE
Santander,4,alert,Reclasificación de sectores de hard-to-abate,"El banco ha desistido de mantener un objetivo de descarbonización para aviación, moviéndolo a ""seguimiento"" alegando falta de control sobre las palancas del sector.
Esto supone una relajación del compromiso climático en un sector de difícil abatimiento (hard-to-abate). El banco explica que, dado el tamaño actual de su exposición (0.53 mil millones) y la dependencia total de tecnologías externas como el combustible sostenible (SAF), no considera factible mantener un objetivo de alineamiento vinculante en este momento ",FALSE
Santander,5,info,Alteración del escenario climático base,"La entidad ha abandonado la exclusividad del escenario IEA Net Zero 2050, incorporando el escenario menos restrictivo de Compromisos Anunciados (APS) en la definición de todos sus nuevos rangos de objetivos sectoriales.",FALSE
ING,0,-,-,"A lo largo de los ejercicios evaluados, ING demuestra una evolución favorable y sumamente activa hacia la descarbonización de sus carteras, logrando reducciones metodológicas consistentes en la intensidad de emisiones de los sectores más pesados de su balance (como Power y el sector inmobiliario). No obstante, la entidad sigue enfrentándose a la difícil realidad de los sectores ""hard-to-abate"" (aviación, automoción y cemento), donde la intensidad de emisiones ha sufrido ligeros repuntes ligados a variaciones en los desembolsos crediticios y a la limitada disponibilidad de alternativas tecnológicas a escala.",TRUE
ING,1,alert,Validación de metas por SBTi,"Un punto de inflexión corporativo, reportado en 2025, ha sido la validación de las metas climáticas del banco (enfoque Terra) por parte de la iniciativa Science Based Targets (SBTi) alineadas a un escenario de 1.5°C.",FALSE
ING,2,warn,Modificación sustancial del perímetro en Upstream Oil & Gas,"Para alinearse con las exigencias del marco metodológico validado por SBTi, el banco ha transicionado de establecer sus metas y medir sus exposiciones en base a saldos dispuestos (outstandings) a basarse estrictamente en límites de préstamo comprometidos (loan limits).",FALSE
ING,3,info,Actualización metodológica en Commercial Real Estate,"Se ha implementado una reformulación material de las emisiones sustituyendo factores de emisión ""Well-to-Wheel"" por ""Tank-to-Wheel"", lo que ha alterado retrospectivamente su línea base y modificado la medición real de su trayectoria.",FALSE
ING,4,info,Cambio en la métrica de medición del sector Acero (Steel),"El banco ha reemplazado su anterior puntuación de ""Alignment score"" por un sistema más estricto de desviación porcentual (""percentage deviation"") basándose en las últimas actualizaciones del estándar Sustainable STEEL Principles.",FALSE
ING,5,warn,Nuevos sectores para Terra,"La metodología de seguimiento climático del banco empieza a ramificarse hacia áreas complejas de la economía real, anunciando formalmente la incorporación y desarrollo activo de planes de transición para el aluminio y la agricultura (lácteos).",FALSE
Standard Chartered,0,-,-,"La trayectoria de descarbonización de Standard Chartered ha evolucionado desde el lanzamiento de su hoja de ruta en 2021, centrada inicialmente en sectores clave como energía y transporte, hasta completar en 2024-2025 la fijación de objetivos científicos para los 12 sectores de la NZBA con la incorporación de Agricultura. En 2025, el banco culminó su compromiso de neutralidad operativa en Alcances 1 y 2 y ha comenzado a refinar sus métricas de emisiones financiadas, incorporando intensidades de metano y ajustando metodologías de Alcance 3 para reflejar mejor la realidad de sus clientes en la transición.",TRUE
Standard Chartered,1,info,Logro de Cero Emisiones Netas Operativas,"El Informe 2025 confirma que el banco alcanzó su objetivo de emisiones netas cero en los Alcances 1 y 2 en 2025, tras una reducción del 96% desde la línea base de 2018.",FALSE
